learner_id,exercise_id,exercise_type,difficulty,score,timestamp
111,138,speaking,easy,86.32784855515068,1696377617
127,295,speaking,medium,55.422977664706224,1694477469
62,285,writing,easy,64.24394353971039,1694229402
52,220,reading,easy,99.37405245472289,1696331154
69,252,writing,easy,87.43373797771476,1694475510
61,315,listening,medium,84.37842115746798,1694322832
30,378,speaking,hard,26.747609812971355,1695245511
67,140,listening,easy,57.40769346967131,1693790004
63,291,listening,easy,90.97801616047119,1694673513
108,301,writing,medium,77.72134333153613,1695113779
181,208,listening,easy,94.17731347182789,1695395897
180,341,reading,medium,51.23965644358406,1695846965
33,335,writing,easy,74.77770237269543,1695308861
53,192,speaking,medium,34.75691772685421,1695670255
177,364,speaking,hard,59.06005974836606,1696485148
38,105,writing,easy,66.43902164699308,1693790410
179,115,listening,medium,70.2891903470455,1694260318
10,230,listening,hard,66.14501831170863,1693848559
135,199,listening,easy,84.1518290357914,1693587961
187,189,speaking,easy,100.0,1695972168
111,105,writing,easy,90.04798530425636,1695402338
46,206,speaking,medium,68.96799910289491,1695127795
14,345,listening,easy,59.128906425758785,1695137536
135,157,listening,easy,62.534784343727125,1693927312
161,206,speaking,medium,68.1331177079101,1695758360
143,105,writing,easy,65.31668341976696,1694263949
37,358,reading,hard,66.78857118957376,1693620284
62,150,speaking,easy,84.41898129180908,1695021944
36,191,writing,hard,16.196926078273847,1696119088
117,196,writing,hard,95.66964254703818,1694306873
83,318,reading,medium,91.62846862627232,1696503682
38,146,speaking,easy,93.14530266200369,1695802075
176,193,speaking,easy,64.67376553891904,1695121520
191,325,listening,easy,84.09837773722285,1695708569
42,384,writing,hard,59.70902552871735,1693577496
19,362,reading,medium,88.8542364667281,1695751171
158,227,reading,easy,100.0,1695372317
48,374,speaking,easy,82.18217358531805,1695106298
79,298,reading,easy,95.20464278702036,1693757484
102,356,reading,hard,40.66027554724089,1695927724
117,116,speaking,easy,68.31693843655175,1693708285
78,365,speaking,easy,87.76777830679742,1695721288
16,376,writing,hard,80.55878392868689,1693627591
124,273,speaking,easy,76.1316505351118,1694100321
56,331,writing,medium,38.51338626756308,1695364000
101,313,speaking,easy,72.37509884207248,1695877718
100,174,reading,hard,68.46378602735146,1695920012
142,344,listening,medium,89.09605837385709,1693604658
183,381,writing,hard,29.33298122243562,1696454613
199,132,reading,hard,32.91522355594173,1693587382
9,175,listening,easy,83.09117627496084,1694576641
178,234,listening,easy,91.15571740030904,1695406253
200,291,listening,easy,100.0,1695524641
53,239,writing,medium,67.03865439675235,1696270304
149,386,speaking,easy,42.56828422425547,1695774394
45,220,reading,easy,100.0,1696208144
103,115,listening,medium,72.39772399389086,1693848613
38,273,speaking,easy,85.21682537608446,1693877435
135,344,listening,medium,61.91970509463555,1694482921
121,384,writing,hard,57.26480196857139,1695879151
44,397,speaking,hard,79.12702288239215,1695929820
80,340,listening,hard,57.623900092342794,1695592317
82,394,writing,easy,74.1689724569394,1695769538
186,222,listening,easy,80.34208723489947,1693775889
81,291,listening,easy,56.603792977669215,1696434387
121,102,speaking,hard,39.09084443535689,1695812833
193,205,speaking,easy,72.82898089340858,1694028752
100,191,writing,hard,6.5233056176122055,1694499796
166,231,listening,easy,89.57349086627266,1694604125
190,207,speaking,hard,75.80432486695258,1694082773
33,392,writing,easy,97.61934145987534,1695342101
173,133,reading,medium,83.05691228328263,1694727839
9,303,writing,medium,45.63868391125976,1696255962
94,305,writing,medium,68.02387925795725,1694544161
108,139,writing,medium,83.99187110332304,1693646000
142,315,listening,medium,73.42711574982376,1695887159
172,136,reading,medium,32.56950829244701,1695238112
160,119,speaking,easy,71.2866128489215,1694605353
111,272,reading,medium,73.48441730808607,1694982118
82,310,speaking,medium,59.20415476710275,1695337681
66,142,speaking,easy,76.42690822380183,1693594788
75,165,writing,medium,77.99720476669616,1695653713
165,331,writing,medium,48.57793931052964,1695092336
90,284,listening,hard,61.000366091920824,1694563027
82,281,speaking,medium,43.682143822295515,1694092691
175,364,speaking,hard,39.90939586949698,1693640817
104,363,writing,easy,83.64559320893646,1694333348
123,359,reading,easy,100.0,1694137459
50,101,reading,hard,64.5898753852046,1693562058
21,113,listening,easy,100.0,1695847628
21,364,speaking,hard,52.91928561008886,1694398496
34,391,speaking,hard,44.446876345685595,1694674686
135,308,speaking,medium,47.87926775802161,1693700684
123,226,listening,easy,74.09255452981446,1695810279
157,327,speaking,hard,24.024512742478677,1694022908
55,333,reading,medium,74.3855913858994,1694626527
29,245,speaking,hard,50.5205546226468,1694168075
165,249,speaking,medium,55.34104969657956,1695366392
134,108,listening,medium,57.28371734181068,1694448229
77,224,writing,medium,55.51398781589492,1694482510
79,122,writing,medium,56.9108431342621,1695589761
9,326,writing,easy,100.0,1695614786
190,247,reading,hard,72.16407009759249,1695216996
141,111,listening,easy,62.895279999850416,1696514459
149,383,listening,medium,70.95975406406652,1693825305
91,142,speaking,easy,87.58581226463468,1696118827
172,281,speaking,medium,59.698868765259604,1695654668
104,320,speaking,hard,47.03528253649807,1693565388
182,318,reading,medium,99.87598170605602,1694238330
21,322,writing,easy,100.0,1693688788
68,101,reading,hard,51.598198880907475,1694015368
149,374,speaking,easy,55.53116978528003,1696213050
10,166,writing,medium,76.22803189497236,1696262265
89,400,reading,medium,84.90870137782186,1694074677
41,181,speaking,easy,85.94063954067045,1694758766
96,190,speaking,easy,71.13073829464035,1694746541
19,282,reading,easy,74.64385521075826,1694414571
103,256,listening,medium,54.88733142042291,1695609044
123,378,speaking,hard,57.729377797906494,1695892020
64,371,writing,medium,54.82972785045908,1695828129
44,122,writing,medium,27.34129355726771,1694822884
98,218,reading,easy,50.913651417050595,1693829004
38,279,speaking,medium,89.09790106285065,1694952290
19,327,speaking,hard,66.78517622505186,1695450415
66,334,speaking,medium,90.52117022464239,1693575249
122,117,listening,hard,71.58703875377788,1696275510
135,318,reading,medium,92.2294043173406,1694619825
139,206,speaking,medium,53.76137248499364,1695088907
191,246,speaking,hard,23.153208607521442,1696420459
200,352,writing,hard,39.106193887870575,1694104785
1,370,listening,hard,47.43079929533266,1694659157
40,339,writing,easy,79.76171986212009,1694654749
108,278,reading,medium,84.71086260592907,1693940564
53,115,listening,medium,77.87211627623387,1696039362
61,389,listening,medium,34.42978804226634,1694347391
104,313,speaking,easy,62.91996510554833,1694567009
193,105,writing,easy,40.53173712179604,1694135257
86,332,speaking,hard,75.35297014047718,1695413196
97,327,speaking,hard,58.86589730988574,1695132424
145,271,reading,hard,68.50561203226773,1696166233
136,209,writing,easy,94.76389682095083,1694756747
95,233,reading,easy,92.22484548778064,1695089678
96,315,listening,medium,88.29942242612447,1695952784
13,198,listening,medium,84.05498314499083,1694925210
112,389,listening,medium,83.56855945930349,1694685896
98,307,speaking,medium,37.43727535186605,1694011318
189,159,listening,easy,100.0,1693959640
141,227,reading,easy,80.19710857733678,1694136675
28,167,speaking,easy,53.06125173254839,1694415319
29,106,speaking,medium,79.48299184976035,1695968216
171,300,speaking,easy,100.0,1694375935
176,226,listening,easy,89.7935472666019,1693920260
3,227,reading,easy,93.48445208799615,1696194538
117,113,listening,easy,64.47395460346718,1695453946
130,121,listening,easy,97.54246082080766,1696143277
180,161,speaking,medium,79.82973377744736,1694000089
64,343,reading,medium,79.2194212629142,1693950250
136,108,listening,medium,97.8225207759402,1696016205
100,316,writing,medium,48.472182584078226,1695033554
105,182,writing,medium,44.69018803887532,1694189623
170,122,writing,medium,83.77181557049626,1696095740
194,202,reading,hard,40.25683041044704,1695687586
70,348,writing,easy,60.56331227338315,1693652627
190,185,listening,hard,42.18270930258339,1695106443
173,145,reading,easy,100.0,1695077678
52,304,listening,medium,61.3622472123573,1693698710
75,107,reading,easy,50.8761088025961,1695953557
104,386,speaking,easy,72.51146987230979,1695047812
153,168,writing,easy,80.72953168114981,1694464822
178,121,listening,easy,98.91517284098079,1693841948
43,297,writing,hard,31.517648877589686,1695924073
151,226,listening,easy,40.36582750465092,1695522032
36,212,speaking,hard,50.005980176283664,1693782027
90,352,writing,hard,66.04602486011697,1695849785
145,138,speaking,easy,100.0,1694424087
159,330,reading,medium,93.09418773046973,1693867888
37,265,writing,easy,90.60438975347583,1695142830
100,241,speaking,hard,36.55640834244011,1693531142
94,299,writing,medium,24.86994172605886,1694081716
71,293,listening,hard,74.93394207526813,1696379760
182,383,listening,medium,83.71492209815652,1696135863
196,385,writing,easy,71.15486774744289,1693923202
118,296,reading,medium,80.54963806908336,1695369931
155,333,reading,medium,83.53386499012183,1696072499
26,114,speaking,easy,77.65057502768866,1694986928
83,372,reading,easy,92.92215004718906,1694453071
163,198,listening,medium,67.1345649507711,1694844551
171,114,speaking,easy,45.096341808186985,1694768003
29,251,speaking,medium,84.32312932050273,1694457833
19,358,reading,hard,56.61784229276911,1695416131
184,275,listening,hard,66.31802758945227,1696353199
158,215,listening,hard,69.33244773382108,1694210309
146,279,speaking,medium,67.04932659978358,1694893352
85,249,speaking,medium,50.38893859168248,1695217744
63,171,speaking,easy,61.76222830844179,1695611312
184,366,listening,easy,100.0,1696247903
96,278,reading,medium,76.27763892394798,1694104084
129,135,speaking,medium,63.830889903761786,1696157132
52,218,reading,easy,100.0,1695185766
165,103,listening,easy,81.87328088587088,1695874166
91,296,reading,medium,72.99767291518538,1696402301
34,168,writing,easy,100.0,1695168525
28,107,reading,easy,100.0,1696368089
156,396,listening,medium,84.35813203461605,1696146317
189,117,listening,hard,15.099806633344521,1696043360
193,176,writing,hard,33.454121999479284,1694482133
17,186,listening,hard,46.017596954976405,1695574809
1,363,writing,easy,80.98516916464617,1694346385
183,356,reading,hard,74.90229417795192,1694226356
189,192,speaking,medium,5.434573711501425,1694187083
199,134,listening,easy,78.6359536976219,1695077501
102,214,writing,easy,63.73477434720442,1696191556
6,102,speaking,hard,43.29603782283136,1696287421
128,125,speaking,easy,76.33402944292841,1696198348
145,348,writing,easy,84.06020410196419,1695654287
58,159,listening,easy,94.63132205205898,1693798003
126,142,speaking,easy,100.0,1693568585
76,227,reading,easy,100.0,1694068426
50,339,writing,easy,47.430204676649296,1694703882
170,215,listening,hard,33.85779574420097,1693891795
187,178,reading,medium,71.35942567302277,1695919816
103,397,speaking,hard,38.13094146821865,1694174878
1,205,speaking,easy,75.87366522903127,1693702098
8,286,writing,medium,60.46558109861256,1695501703
69,157,listening,easy,76.77508257863944,1694816271
179,369,listening,easy,50.78184319382097,1695699114
138,159,listening,easy,81.24379118838706,1696125500
15,292,listening,hard,63.33151002502703,1696301521
174,121,listening,easy,86.59054278600006,1696133491
42,246,speaking,hard,50.786679387575106,1693745615
187,307,speaking,medium,77.0063883784112,1695776770
157,395,listening,easy,100.0,1695679583
149,112,speaking,hard,14.134376062625194,1695791397
180,161,speaking,medium,38.81345409289499,1695944822
92,365,speaking,easy,95.40218136575373,1695102426
90,119,speaking,easy,100.0,1694417690
8,277,listening,hard,17.038971252965904,1695486378
12,251,speaking,medium,35.1731860424148,1693647626
114,211,writing,easy,67.04012024019967,1694936095
142,133,reading,medium,81.30240639363188,1694958392
91,341,reading,medium,75.2681700912687,1695400276
126,153,writing,medium,58.95838097279292,1694619797
193,116,speaking,easy,91.53013529508476,1696079420
20,356,reading,hard,75.65435687534936,1693647373
40,220,reading,easy,65.77304536116799,1694502536
116,104,writing,medium,49.66552152665372,1696418890
179,259,listening,easy,100.0,1695187632
119,337,listening,medium,75.08921922268499,1695715199
85,357,listening,easy,47.146359560990724,1695841370
181,384,writing,hard,45.823053989757724,1696205870
10,364,speaking,hard,62.72095452153633,1694524855
86,197,reading,medium,66.35663269276384,1695711400
62,109,reading,medium,59.06005196138092,1695152490
176,139,writing,medium,68.68206726023509,1695361417
122,136,reading,medium,71.1020785087805,1695549727
55,397,speaking,hard,58.09949384574104,1695039535
87,367,writing,easy,48.25084293138089,1695521452
63,106,speaking,medium,46.45776032856212,1696243889
43,198,listening,medium,43.02939960293713,1693585930
102,392,writing,easy,90.32463850241673,1693905686
78,288,writing,medium,72.97767034101766,1693553353
149,288,writing,medium,33.44130372249747,1694203361
165,133,reading,medium,77.7197413409233,1695286532
167,104,writing,medium,68.96563461769031,1694825939
116,213,listening,easy,100.0,1693871861
161,230,listening,hard,59.628164148904034,1695271450
33,325,listening,easy,79.80485181385077,1695382865
170,240,writing,easy,88.68263648332108,1694122463
92,217,reading,easy,99.1056259970288,1695467865
173,243,writing,hard,14.995519020998515,1695382537
18,271,reading,hard,33.09281711188758,1694212142
110,363,writing,easy,57.30362564553825,1694518749
51,291,listening,easy,59.61061874673306,1695146952
89,109,reading,medium,87.49822430449132,1694948522
75,331,writing,medium,97.31062820037388,1694962716
161,398,writing,medium,81.63196376207652,1695472843
170,245,speaking,hard,57.20735326134192,1694771760
87,306,writing,medium,67.1648258030877,1695095849
191,381,writing,hard,52.24504465977658,1695405699
51,165,writing,medium,69.69296668594278,1696229911
136,323,listening,easy,86.45325957032588,1693980038
54,365,speaking,easy,98.90812686999246,1695196300
17,177,writing,easy,88.17898107791669,1694927732
161,152,reading,hard,72.20746165163183,1695625951
176,255,writing,hard,68.30657526110052,1696448340
69,377,writing,easy,59.55084795877252,1694118767
183,228,speaking,medium,42.98714103242462,1696324846
150,330,reading,medium,58.732466167776046,1695244423
193,174,reading,hard,54.08435883552955,1696517857
102,334,speaking,medium,57.68597935916678,1695522152
35,377,writing,easy,99.64879317971689,1695915947
85,227,reading,easy,78.64502529089391,1695931269
145,384,writing,hard,44.63093171140821,1696364954
132,166,writing,medium,93.63218306555402,1694513532
54,271,reading,hard,39.008710777235635,1694701313
157,369,listening,easy,51.50683204519759,1695976333
100,288,writing,medium,21.413604332712247,1696516488
86,278,reading,medium,68.54001498826392,1693933698
52,163,writing,easy,69.22833182555269,1695468701
176,322,writing,easy,91.05185555190488,1694180304
12,288,writing,medium,45.05025951747264,1695763386
191,104,writing,medium,74.22973236298674,1695729951
66,396,listening,medium,84.49635810186442,1695746953
113,338,writing,hard,27.443026736767735,1694145935
102,247,reading,hard,74.57719653069115,1695436376
87,389,listening,medium,42.75114614684797,1695975496
182,134,listening,easy,73.08554827356211,1695908049
120,356,reading,hard,65.89752932549177,1695897641
193,287,reading,easy,98.38265478902423,1695768937
40,185,listening,hard,50.21647477329276,1693969498
119,268,reading,medium,76.76434922962875,1693951177
97,140,listening,easy,56.163004090955255,1695074912
15,221,writing,easy,100.0,1695188475
115,279,speaking,medium,60.403803374270666,1695854066
136,254,writing,medium,92.4885714659845,1695251575
66,261,speaking,medium,52.275654341881086,1696030851
13,130,writing,medium,71.47558835354533,1693776672
18,350,reading,medium,68.9494096547046,1695748718
54,317,reading,medium,91.57791926729438,1694888008
179,166,writing,medium,70.5001014191372,1695673553
177,101,reading,hard,65.87190538995563,1695616521
88,155,writing,easy,90.52612026403888,1694529545
4,375,writing,medium,59.830415993773215,1694135764
196,195,speaking,medium,60.475851263633245,1693856032
45,151,speaking,medium,84.3394329133902,1693891598
114,145,reading,easy,91.23763546826383,1694777817
158,375,writing,medium,75.39481172983697,1693973693
157,388,listening,medium,65.48942159964835,1696092259
188,146,speaking,easy,57.15559670906205,1695437859
194,200,reading,medium,78.96520371807533,1695454404
181,170,writing,easy,84.06485379521263,1695608027
39,145,reading,easy,93.7787420377092,1694286390
90,183,reading,hard,72.85207659148793,1694939675
7,274,listening,medium,51.085431873329604,1694704165
63,215,listening,hard,73.41030109352994,1695255860
136,304,listening,medium,59.378485788123164,1695331833
86,356,reading,hard,78.31858055523315,1696265737
76,331,writing,medium,72.80963344745498,1694859915
199,359,reading,easy,79.32780086939408,1695642618
113,140,listening,easy,100.0,1694150261
130,380,reading,hard,60.96256868488367,1696444476
159,320,speaking,hard,86.22133292620052,1695790249
23,133,reading,medium,99.19618064440698,1695598576
160,357,listening,easy,63.506143173569754,1696371916
198,255,writing,hard,27.505698933706,1693849110
80,340,listening,hard,63.14582551118019,1694746328
173,321,reading,medium,44.28075175850451,1695427728
171,312,listening,easy,78.90565373031335,1694989472
170,162,listening,medium,78.47539179734835,1696003637
141,116,speaking,easy,93.69201131951672,1696334278
90,163,writing,easy,83.15180517113274,1696451425
64,192,speaking,medium,50.983202959259934,1696279071
117,363,writing,easy,87.88160331400421,1695506308
199,230,listening,hard,42.43370371272911,1693587947
70,198,listening,medium,87.69100159111207,1696057847
94,208,listening,easy,91.17089706228064,1695122348
42,209,writing,easy,91.8925787893868,1695276203
188,243,writing,hard,22.314670676091033,1695277313
172,268,reading,medium,100.0,1694883372
100,129,listening,hard,26.385668046334672,1693543492
90,131,writing,hard,39.47769814250697,1693859475
148,371,writing,medium,77.1188464257516,1695513161
124,224,writing,medium,75.43204042196861,1694447287
60,209,writing,easy,77.50622192928117,1694029678
168,197,reading,medium,100.0,1695425023
68,318,reading,medium,43.75047426482416,1694632786
94,329,listening,easy,72.376025413066,1696023831
83,179,listening,medium,53.11016814598605,1695123819
195,231,listening,easy,58.84417619917199,1695912339
100,366,listening,easy,48.45895888127363,1696155148
162,243,writing,hard,52.3065662771601,1696513026
42,271,reading,hard,44.90559630551155,1693728242
30,270,reading,hard,50.876399596000624,1695130549
48,231,listening,easy,91.53479046165052,1693921428
11,248,reading,hard,62.76899096700368,1696027177
158,160,listening,medium,64.84443138812628,1693626362
120,382,writing,medium,60.6325987905347,1694933957
101,103,listening,easy,87.19126179037684,1694441902
51,310,speaking,medium,32.911494598953624,1694742885
77,257,reading,easy,100.0,1695790152
66,188,writing,medium,31.33409275604766,1694758615
181,117,listening,hard,54.77241835814496,1695595541
100,118,reading,hard,35.071227199410785,1695782457
175,335,writing,easy,68.90110396593192,1696406357
183,284,listening,hard,51.005362612898224,1694413475
12,178,reading,medium,99.5909309541143,1695673104
103,114,speaking,easy,69.26393092945412,1693931593
107,134,listening,easy,82.43269991815707,1694515384
43,334,speaking,medium,73.20297044434426,1694035881
16,227,reading,easy,83.20902418406227,1694698428
43,356,reading,hard,50.89175376631794,1695622443
3,137,speaking,easy,58.85641838564452,1695090400
199,196,writing,hard,65.48878437881618,1693559755
190,294,writing,medium,37.43855470687944,1693980577
24,120,writing,hard,75.39038693667744,1695954199
181,288,writing,medium,56.0619695049037,1695866015
128,313,speaking,easy,89.22368714457144,1693851928
37,363,writing,easy,29.060076370303,1696378927
130,284,listening,hard,52.69796112139127,1693656986
160,157,listening,easy,66.12072904292258,1694530858
58,175,listening,easy,75.44479372425589,1694165435
5,337,listening,medium,89.79726597256938,1695408756
126,325,listening,easy,97.24792417546769,1694026357
22,357,listening,easy,71.78059828198359,1694670028
182,343,reading,medium,34.187307193014206,1694789401
166,226,listening,easy,85.13869479710085,1693703963
156,223,listening,easy,63.14669124358818,1693601546
1,102,speaking,hard,32.97636431075321,1695205540
49,191,writing,hard,79.01549807255977,1694573265
158,190,speaking,easy,75.94286676059833,1695363591
78,329,listening,easy,100.0,1696380998
33,258,listening,medium,61.826712378545736,1695725388
23,203,speaking,medium,67.9723912002914,1693821532
44,283,writing,medium,54.60893531660213,1694958978
150,190,speaking,easy,63.44001677453332,1693642840
131,363,writing,easy,32.108679307660225,1696176988
89,235,speaking,medium,31.98887711904213,1694687139
143,165,writing,medium,59.83950713127875,1694190495
11,195,speaking,medium,58.01912590675309,1696172630
190,117,listening,hard,37.327486631021074,1693796902
196,126,listening,easy,96.88128176963146,1693815867
2,243,writing,hard,60.45910532570855,1694593257
105,288,writing,medium,54.22673265606378,1694126925
144,292,listening,hard,48.5200904248972,1694409086
57,126,listening,easy,72.70539187940317,1694016899
183,357,listening,easy,94.51558742494558,1694690543
163,134,listening,easy,100.0,1695322201
9,252,writing,easy,75.23803056407901,1695916545
8,150,speaking,easy,100.0,1694138122
178,400,reading,medium,97.10822940333603,1694163746
119,298,reading,easy,100.0,1695130255
91,364,speaking,hard,46.23898774402287,1695703691
18,278,reading,medium,39.17319512438059,1695502806
33,185,listening,hard,61.573425850655994,1694416324
165,282,reading,easy,55.25652746703089,1695406778
156,321,reading,medium,80.76519872261005,1693624853
112,396,listening,medium,42.773284501376004,1694519926
67,308,speaking,medium,66.51956015299386,1693924019
46,217,reading,easy,87.71879187098679,1694702351
59,290,writing,hard,37.29897244665594,1696327029
130,230,listening,hard,43.85881067706999,1696114209
152,231,listening,easy,81.03485510752506,1693940361
100,382,writing,medium,8.19254293788226,1694830002
198,264,writing,easy,100.0,1695437493
182,236,writing,medium,71.92020351217673,1694844428
42,227,reading,easy,100.0,1695013994
148,302,speaking,easy,23.71443926332826,1694886828
90,355,listening,hard,66.18159975526683,1696248563
43,131,writing,hard,44.49860656334785,1695349339
90,257,reading,easy,91.80522132555754,1693640224
66,133,reading,medium,52.1533629446057,1695654484
9,323,listening,easy,100.0,1696048286
40,119,speaking,easy,68.21841662974404,1693631701
193,191,writing,hard,35.46509541150849,1695264666
101,217,reading,easy,75.9550978921246,1694165117
42,132,reading,hard,58.544066925310815,1694310966
134,133,reading,medium,30.385714330697795,1696019078
87,235,speaking,medium,55.98466825253975,1695493832
73,144,writing,hard,31.717816752861438,1693582911
61,290,writing,hard,54.79841064044336,1696334140
78,362,reading,medium,91.31650985961417,1694590680
91,283,writing,medium,57.854344222558595,1695842369
157,293,listening,hard,27.507176137000165,1696161609
184,195,speaking,medium,45.00473737117676,1694907301
14,296,reading,medium,87.80738288088823,1695083001
96,339,writing,easy,96.85892923474628,1693935231
126,274,listening,medium,87.00490401481305,1696297887
95,111,listening,easy,96.95962529456277,1695377008
150,223,listening,easy,76.25708122196085,1695885557
86,365,speaking,easy,85.58305136369577,1695670021
56,220,reading,easy,79.51840934266605,1694856347
64,215,listening,hard,57.00552110865523,1695371260
44,308,speaking,medium,48.05426770693418,1695902880
185,210,listening,medium,58.53524287076279,1695619767
194,119,speaking,easy,65.09185248234256,1695984363
121,363,writing,easy,92.4120089585431,1694641528
177,316,writing,medium,53.68934964587729,1695086544
56,228,speaking,medium,59.014546350524924,1695785492
171,145,reading,easy,65.02914008716941,1695014778
137,248,reading,hard,52.58619905385399,1695618159
23,101,reading,hard,88.39734425501217,1695352903
17,194,writing,medium,68.64499738449095,1695003867
132,110,reading,medium,85.33425388290712,1695595959
6,190,speaking,easy,91.03062467031936,1696083841
28,292,listening,hard,57.63512831228503,1695269395
75,342,listening,easy,100.0,1696006212
10,373,reading,easy,97.5152972766831,1693622125
51,371,writing,medium,88.10342814576724,1694407533
81,268,reading,medium,45.10228595436723,1694594044
65,118,reading,hard,59.02356493744583,1693573597
168,371,writing,medium,59.46544286486606,1695243006
27,106,speaking,medium,60.43039218905862,1694196913
105,144,writing,hard,40.58428014043706,1695087947
168,198,listening,medium,87.89880735805588,1694901459
118,364,speaking,hard,82.21455003892282,1693834394
78,349,speaking,medium,57.885965028591414,1695908118
142,238,reading,easy,50.663199994993,1696252323
6,234,listening,easy,79.70620385029785,1694287817
96,232,listening,easy,89.05962464353834,1696398396
120,355,listening,hard,41.8375534403135,1695179554
174,243,writing,hard,36.99207363413608,1696389019
38,353,reading,medium,74.1260529644759,1694796956
118,153,writing,medium,66.9678645348566,1695295412
82,322,writing,easy,83.27668703605158,1695932877
88,273,speaking,easy,54.430169517180346,1693695362
137,363,writing,easy,63.460161478806356,1693666855
116,186,listening,hard,48.19633952569303,1694074949
29,254,writing,medium,62.41892728287674,1693949498
96,335,writing,easy,95.38561030495194,1693550736
195,105,writing,easy,93.64891485272774,1694968723
182,393,speaking,medium,17.63110309790969,1695201918
116,382,writing,medium,67.32149037584446,1694541033
185,183,reading,hard,100.0,1694008663
46,211,writing,easy,100.0,1695450190
160,185,listening,hard,41.32551517536666,1693684000
47,345,listening,easy,85.03830653300079,1694700497
